Código UTA 2020;Código UTA 2010
063010301000004;063010301000004
063010301010000;063010301010000
063010301000012;063010301000012
063010301020000;063010301020000
063010301000006;063010301000006
063010301000005;063010301000005
180910203030000;180910203030000
180910203000039;180910203000039
180910203000027;180910203000027
180910203000042;180910203000042
180910203000043;180910203000043
220980315020000;220980315020000
220980315000024;220980315000024
220980315000018;220980315000018
220980315000016;220980315000016
820703239000005;820703239000005
820703239000031;820703239000031
820703239000018;820703239000018
820703239290000;820703239290000
141120000000030;141120000000030
141120000000026;141120000000026
141120000000050;141120000000050
141120000000106;141120000000106
141120000000054;141120000000054
141120000000001;141120000000001
141120000000087;141120000000087
141120000000088;141120000000088
141120000000027;141120000000027
141120000000045;141120000000045
141120000000085;141120000000085
141120000000091;141120000000091
141120000000059;141120000000059
141120000000104;141120000000104
141120000000002;141120000000002
141120000000107;141120000000107
141120000000053;141120000000053
141120000000098;141120000000098
141120000000061;141120000000061
141120000000010;141120000000010
141120000000060;141120000000060
540770308000001;540770308000001
540770308030000;540770308030000
540770308100000;540770308100000
540770308000010;540770308000010
140770609040000;140770609040000
140770609000051;140770609000051
140770609000009;140770609000009
140770609070000;140770609070000
141820000000071;141820000000071
141820000000073;141820000000073
141820000000060;141820000000060
141820000000059;141820000000059
141820000000037;141820000000037
141820000000038;141820000000038
141820000000007;141820000000007
141820000000029;141820000000029
141820000000006;141820000000006
141820000000033;141820000000033
141820000000075;141820000000075
141820000000019;141820000000019
141820000000002;141820000000002
141820000000036;141820000000036
141820000000056;141820000000056
141820000260000;141820000260000
141820000000012;141820000000012
141820000000021;141820000000021
141820000000027;141820000000027
141820000000030;141820000000030
141820000000024;141820000000024
141820000000005;141820000000005
141820000000044;141820000000044
141820000000070;141820000000070
141820000000051;141820000000051
141820000000043;141820000000043
141820000000015;141820000000015
141820000000041;141820000000041
141820000230000;141820000230000
141820000000035;141820000000035
141820000000032;141820000000032
141820000000028;141820000000028
141820000000020;141820000000020
141820000000031;141820000000031
141820000000023;141820000000023
141820000000010;141820000000010
141820000000034;141820000000034
141820000000009;141820000000009
141820000000004;141820000000004
141820000000008;141820000000008
141820000000003;141820000000003
141820000000016;141820000000016
141820000000042;141820000000042
140420322100000;140420322100000
300560184030000;300560184030000
300560184000002;300560184000002
300219115110000;300219115110000
380986196000024;380986196000024
380986196000098;380986196000098
380986196000035;380986196000035
380986196000004;380986196000004
380986196040000;380986196040000
380986196000128;380986196000128
140630567160000;140630567160000
220630189000062;220630189000062
220630189000089;220630189000089
220630189000093;220630189000093
220630189000071;220630189000071
220630189000152;220630189000152
220630189000049;220630189000049
220630189000110;220630189000110
220630189000143;220630189000143
220630189000002;220630189000002
220630189000146;220630189000146
220630189000248;220630189000248
220630189000166;220630189000166
220630189000215;220630189000215
220630189000057;220630189000057
220630189000030;220630189000030
220630189000136;220630189000136
220630189000227;220630189000227
220630189000021;220630189000021
220630189000193;220630189000193
220630189000131;220630189000131
220630189000056;220630189000056
220630189000147;220630189000147
220630189000192;220630189000192
220630189000160;220630189000160
220630189000101;220630189000101
220630189000204;220630189000204
220630189000009;220630189000009
220630189070000;220630189070000
220630189000074;220630189000074
220630189000019;220630189000019
220630189000114;220630189000114
220630189000001;220630189000001
220630189000185;220630189000185
220630189000156;220630189000156
220630189000239;220630189000239
220630189000175;220630189000175
220630189000245;220630189000245
220630189000155;220630189000155
220630189000138;220630189000138
220630189000217;220630189000217
220630189000041;220630189000041
220630189000134;220630189000134
220630189000150;220630189000150
220630189000253;220630189000253
220630189000097;220630189000097
220630189000171;220630189000171
220630189000005;220630189000005
220630189000036;220630189000036
220630189000006;220630189000006
220630189000072;220630189000072
220630189000231;220630189000231
220630189000151;220630189000151
140210098000065;140210098000065
140210098000042;140210098000042
140210098120000;140210098120000
140210098000036;140210098000036
140210098000021;140210098000021
140210098000053;140210098000053
140210098000023;140210098000023
140210098060000;140210098060000
140210098260000;140210098260000
140210098170000;140210098170000
820913589160000;820913589160000
820422665150000;820422665150000
820282448090000;820282448090000
820282448000002;820282448000002
821260308000014;821260308000014
821260308000025;821260308000025
821260308070000;821260308070000
821260308000023;821260308000023
660840203000014;660840203000014
660840203010000;660840203010000
141471386200000;141471386200000
140210161250002;140210161250002
140210161000056;140210161000056
140210161250001;140210161250001
500910091000093;500910091000093
500910091000023;500910091000023
500910091060000;500910091060000
500910091050000;500910091050000
500910091020000;500910091020000
500910091000075;500910091000075
500910091000142;500910091000142
500910091000188;500910091000188
500910091040000;500910091040000
500910091010000;500910091010000
500910091000137;500910091000137
500910091030000;500910091030000
500910091000070;500910091000070
500910091005000;500910091005000
500910091000112;500910091000112
500910091000192;500910091000192
260420000000008;260420000000008
820282518190000;820282518190000
820282518000013;820282518000013
421545049020000;421545049020000
421545049000062;421545049000062
500980098030000;500980098030000
500980098000016;500980098000016
500980098000012;500980098000012
500980098080000;500980098080000
500980098045000;500980098045000
500980098060000;500980098060000
500980098055000;500980098055000
500980098110000;500980098110000
500980098070000;500980098070000
500980098050000;500980098050000
500980098020000;500980098020000
500980098100002;500980098100002
500980098077000;500980098077000
500980098040000;500980098040000
500980098000047;500980098000047
500980098073000;500980098073000
500980098100001;500980098100001
500980098090000;500980098090000
500980098000045;500980098000045
500980098000002;500980098000002
500980098000015;500980098000015
260140014000018;260140014000018
260140014000011;260140014000011
260140014000012;260140014000012
260140014020000;260140014020000
260140014000034;260140014000034
141050910130000;141050910130000
140910693000077;140910693000077
140910693000040;140910693000040
140910693110000;140910693110000
900148140100003;900148140100003
900148140100001;900148140100001
900148140000169;900148140000169
900148140100002;900148140100002
900148140000018;900148140000018
067840784000012;067840784000012
067840784020000;067840784020000
067840784010000;067840784010000
067840784000011;067840784000011
067840784000005;067840784000005
067840784000006;067840784000006
067840784000008;067840784000008
067840784000004;067840784000004
067840784000003;067840784000003
820492826000058;820492826000058
820492826000005;820492826000005
820492826000097;820492826000097
820492826110000;820492826110000
820492826000023;820492826000023
820492826000056;820492826000056
820492826000077;820492826000077
660210056000018;660210056000018
660210056000098;660210056000098
660210056000031;660210056000031
660210056000065;660210056000065
660210056010000;660210056010000
660210056000095;660210056000095
660210056020000;660210056020000
421330021070000;421330021070000
421330021020000;421330021020000
860140014010000;860140014010000
620840000000007;620840000000007
620840000000011;620840000000011
340140028000120;340140028000120
340140028000060;340140028000060
340140028000019;340140028000019
340140028000068;340140028000068
340140028020000;340140028020000
064760476000011;064760476000011
064760476000033;064760476000033
064760476000005;064760476000005
064760476000023;064760476000023
064760476040000;064760476040000
064760476000008;064760476000008
064760476000020;064760476000020
064760476000038;064760476000038
064760476000014;064760476000014
064760476000044;064760476000044
064760476000009;064760476000009
064760476000041;064760476000041
064760476000018;064760476000018
064760476010000;064760476010000
064760476000024;064760476000024
064760476000043;064760476000043
064760476000003;064760476000003
064760476050000;064760476050000
064760476000028;064760476000028
064760476000032;064760476000032
064760476000031;064760476000031
064760476000030;064760476000030
064760476000045;064760476000045
064760476030000;064760476030000
064760476000006;064760476000006
064760476000015;064760476000015
064760476060000;064760476060000
064760476020000;064760476020000
064760476000042;064760476000042
064760476000037;064760476000037
100350119000004;100350119000004
100350119000067;100350119000067
100350119000020;100350119000020
100350119000062;100350119000062
100350119010000;100350119010000
100350119150000;100350119150000
140070035210003;140070035210003
140070035210001;140070035210001
140070035210002;140070035210002
140070035000004;140070035000004
620845147000008;620845147000008
620845147020000;620845147020000
780140028060000;780140028060000
301139940000025;301139940000025
301139940000095;301139940000095
580350091130000;580350091130000
580350091140000;580350091140000
580350091020000;580350091020000
900218161000106;900218161000106
900218161010000;900218161010000
900218161000086;900218161000086
900218161000026;900218161000026
900218161000013;900218161000013
900218161000072;900218161000072
900218161000087;900218161000087
340359084110000;340359084110000
620705035000029;620705035000029
180420073010000;180420073010000
180700143000058;180700143000058
180700143000094;180700143000094
180700143000095;180700143000095
180700143000076;180700143000076
180700143000074;180700143000074
180700143000043;180700143000043
